permaticker,last_trade_date,event_type,in_core,in_clones,in_phaseF,evidence_required
199850,2016-01-14,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196660,2016-01-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199415,2016-01-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198117,2016-02-19,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197592,2016-03-02,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195861,2016-03-23,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197286,2016-04-01,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
191948,2016-04-29,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197210,2016-05-11,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194291,2016-05-17,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198401,2016-05-20,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
119350,2016-05-27,DELISTED_OTHER,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
182800,2016-06-02,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196674,2016-06-20,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197152,2016-06-30,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199049,2016-06-30,ACQUIRED,False,True,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185101,2016-06-30,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
573113,2016-09-02,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
