event_id,evaluation_window,formation_date,deploy_date,scheduled_exit_date,permaticker,historical_ticker,company_name,cik,raw_action,raw_action_date,raw_value,raw_contraticker,raw_contraname,last_trade_date,event_type,clone_lot_hits,affected_clone_count,first_clone_id,source_row_ids,policy_target_branch,evidence_required,manual_review_priority,evidence_status,data_vintage_id,content_hash
293b9857bb160c0d,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-06-30,2006-07-03,2007-01-03,186594,FSL.B,FREESCALE SEMICONDUCTOR INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2006-12-01,16478.7,N/A,TPG CAPITAL LP,2006-12-01,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=186594,date=2006-12-01",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,a73e0ada45c679b5
e910fc1cf0092f8f,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2007-12-31,2008-01-02,2008-07-01,116535,HET,HARRAHS ENTERTAINMENT INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-01-28,16876.4,N/A,N/A,2008-01-28,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=116535,date=2008-01-28",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,e04992f95d2e9a75
f39f27d392608673,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2007-12-31,2008-01-02,2008-07-01,123481,BSC1,BEAR STEARNS COMPANIES INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-05-30,1359.4,N/A,N/A,2008-05-30,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=123481,date=2008-05-30",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,f1eea3977fb37ac9
d81dbf537794968e,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2007-12-31,2008-01-02,2008-07-01,181624,CBH1,COMMERCE BANCORP INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-03-28,7004.7,TD,TORONTO DOMINION BANK,2008-03-28,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=181624,date=2008-03-28",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,82812cf0205c64e9
78cedfbb09900fbc,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2007-12-31,2008-01-02,2008-07-01,185387,CFC,COUNTRYWIDE FINANCIAL CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-06-30,2479.2,N/A,N/A,2008-06-30,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185387,date=2008-06-30",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,c3f82021bc11c351
458f9d257e5142d3,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2007-12-31,2008-01-02,2008-07-01,185411,TT2,TRANE INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-06-05,9144.9,TT,TRANE TECHNOLOGIES PLC,2008-06-05,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185411,date=2008-06-05",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,9f82da986b9b36c6
f6c41a4eec78888c,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,123481,BSC1,BEAR STEARNS COMPANIES INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-05-30,1359.4,N/A,N/A,2008-05-30,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=123481,date=2008-05-30",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,443a289c0a7f3b13
6f55d99c3bb0e168,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,168388,EDS,ELECTRONIC DATA SYSTEMS CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-08-25,12611.1,N/A,N/A,2008-08-25,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=168388,date=2008-08-25",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,9bf68cdd4a14bb0c
faa4351b6d14ebbb,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,185387,CFC,COUNTRYWIDE FINANCIAL CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-06-30,2479.2,N/A,N/A,2008-06-30,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185387,date=2008-06-30",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,e2fa5d5c0e7cb919
da8f5870e5ac9b4a,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,185404,SAF2,SAFECO CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-09-22,6135.1,N/A,N/A,2008-09-22,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185404,date=2008-09-22",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,1a4ca048167e34a8
eff97c1a31e67cac,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,185411,TT2,TRANE INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-06-05,9144.9,TT,TRANE TECHNOLOGIES PLC,2008-06-05,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185411,date=2008-06-05",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,b76a477057b37d49
1f0e4c78c6497af8,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-03-31,2008-04-01,2008-10-01,198719,CCU1,CLEAR CHANNEL COMMUNICATIONS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-07-29,44784.7,N/A,THOMAS H LEE PARTNERS LP,2008-07-29,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=198719,date=2008-07-29",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,eb59d588f40f81c2
8e73be047c1b6af5,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,168388,EDS,ELECTRONIC DATA SYSTEMS CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-08-25,12611.1,N/A,N/A,2008-08-25,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=168388,date=2008-08-25",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,d00212483111be44
ea5e004ff8cd9bc2,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,173407,WB1,WACHOVIA CORP NEW,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-12-31,11971.5,WFC,WELLS FARGO & COMPANY,2008-12-31,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=173407,date=2008-12-31",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,9e8708e778a129b6
58b0160878275685,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,173408,ABI1,APPLIED BIOSYSTEMS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-11-21,4734.9,N/A,N/A,2008-11-21,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=173408,date=2008-11-21",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,9627139fd50e6440
2d285f8217089c43,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,180382,WWY,WRIGLEY WM JR CO,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-10-06,21808.4,N/A,Mars Incorporated,2008-10-06,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=180382,date=2008-10-06",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,a58297a788f7bbd0
4710470770131245,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,183067,HPC,HERCULES INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-11-13,2159.4,ASH,ASHLAND INC,2008-11-13,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=183067,date=2008-11-13",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,569fa0e327356dd4
27344a849eb74b29,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,185392,BRL,BARR PHARMACEUTICALS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-12-22,7201.5,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD,2008-12-22,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185392,date=2008-12-22",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,7c20b485cf9c1ab5
1dae1bcf6c28eab1,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,185400,BUD1,ANHEUSER-BUSCH COMPANIES INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-11-17,49586.3,N/A,N/A,2008-11-17,DELISTED_OTHER,0,0,,"actions_clean.parquet:permaticker=185400,date=2008-11-17",unverified_ma,SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,998d28b4d0ef70d9
cd59661bef9ec4ee,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,185404,SAF2,SAFECO CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-09-22,6135.1,N/A,N/A,2008-09-22,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185404,date=2008-09-22",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,ddf2c764dbeaf534
4065c2092066ed06,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,185412,AW,ALLIED WASTE INDUSTRIES INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-12-05,4390.5,RSG,REPUBLIC SERVICES INC,2008-12-05,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185412,date=2008-12-05",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,5615085f11e71028
88acf36c53ebd87d,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,185417,NCC,NATIONAL CITY CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-12-31,3685.3,N/A,N/A,2008-12-31,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185417,date=2008-12-31",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,29cd2d38b4dd6809
496006966580b0b8,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,188897,LEHMQ,LEHMAN BROTHERS HOLDINGS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2008-10-15,55.6,N/A,N/A,2008-10-15,BANKRUPTCY_LIQUIDATION,0,0,,"actions_clean.parquet:permaticker=188897,date=2008-10-15",verified_bankruptcy_zero_recovery (UNVERIFIED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,83227a57ae2b4c7c
0868e1fbc32517c5,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2008-06-30,2008-07-01,2009-01-02,198719,CCU1,CLEAR CHANNEL COMMUNICATIONS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2008-07-29,44784.7,N/A,THOMAS H LEE PARTNERS LP,2008-07-29,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=198719,date=2008-07-29",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,57b7d14ee723f27d
