formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,note
2013-12-31,196469,2014-01-02,2014-07-01,2014-02-03,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-12-31,198507,2014-01-02,2014-07-01,2014-04-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-12-31,198946,2014-01-02,2014-07-01,2014-05-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-12-31,199710,2014-01-02,2014-07-01,2014-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-03-31,198507,2014-04-01,2014-10-01,2014-04-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-03-31,198946,2014-04-01,2014-10-01,2014-05-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-03-31,199710,2014-04-01,2014-10-01,2014-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-09-30,193275,2014-10-01,2015-04-01,2015-03-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-09-30,194188,2014-10-01,2015-04-01,2015-01-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-09-30,198027,2014-10-01,2015-04-01,2015-03-11,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-09-30,198103,2014-10-01,2015-04-01,2015-03-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-09-30,199378,2014-10-01,2015-04-01,2015-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,193275,2015-01-02,2015-07-01,2015-03-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,193634,2015-01-02,2015-07-01,2015-06-11,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
